"id","nombre","email","email_verified_at","email2","direccion","descripcion","telefono","responsable","ccaa_id","provincia_id","municipio_id","remember_token","created_at","updated_at"
"11","Burgos","burgos@cgtferroviario.es",NULL,"Sff.cgtmiranda@gmail.com","-","La sección de Burgos","648106","Óscar Balbas","7","9","2723",NULL,"2024-01-02 14:29:26","2024-01-03 21:02:51"
"12","Cáceres","caceres@cgtferroviario.es",NULL,"cacerescgt@gmail.com","-","La sección de Cáceres","184536","Pablo López","11","10","1730",NULL,"2024-01-02 14:29:26","2024-01-03 20:43:12"
"13","Cádiz","cadiz@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","-","La sección de Cádiz","332446","Moisés Navarro","1","11","540",NULL,"2024-01-02 14:29:26","2024-01-03 20:38:21"
"14","Cantabria","cantabria@cgtferroviario.es",NULL,"sff@cgtcantabria.org","-","La sección de Cantabria","688251","Javier Cobo","6","39","3389",NULL,"2024-01-02 14:29:26","2024-01-03 21:02:15"
"15","Castellón","castellon@cgtferroviario.es",NULL,"sffcgtcastellon@gmail.com","-","La sección de Castellón","-","Luis Vaíllo","10","12","1871",NULL,"2024-01-02 14:29:26","2024-01-03 20:58:26"
"16","Ciudad Real","ciudadreal@cgtferroviario.es",NULL,"sffssciudadrealferrocarril@gmail.com","-","La sección de Ciudad Real","180300","Juan Carlos Pérez","8","13","1592",NULL,"2024-01-02 14:29:26","2024-01-03 20:57:40"
"17","Córdoba","cordoba@cgtferroviario.es",NULL,"sffcgtcordoba@gmail.com","-","La sección de Córdoba","973485","Gonzalo Moyano","1","14","978",NULL,"2024-01-02 14:29:26","2024-01-03 20:37:44"
"18","Cuenca","cuenca@cgtferroviario.es",NULL,"sff-cgt@cgt.es","-","La sección de Cuenca","-","-","8","16","3487",NULL,"2024-01-02 14:29:26","2024-01-03 20:37:07"
"19","Gipuzkoa","gipuzkoa@cgtferroviario.es",NULL,"Cgt-irun@hotmail.com","-","La sección de Gipuzkoa","649741","José Antonio Bayo","16","20","3147",NULL,"2024-01-02 14:29:26","2024-01-03 20:33:19"
"20","Girona","girona@cgtferroviario.es",NULL,"sffcgtgirona@gmail.com","-","La sección de Girona","552492","-","9","17","3525",NULL,"2024-01-02 14:29:26","2024-01-03 20:15:08"
"21","Granada","granada@cgtferroviario.es",NULL,"Sff.cgt.granada@gmail.com","-","La sección de Granada","331501","Tomás Rodríguez","1","18","3809",NULL,"2024-01-02 14:29:26","2024-01-03 20:14:18"
"22","Guadalajara","guadalajara@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","-","La sección de Guadalajara","-","Emilio Mendieta","8","19","5004",NULL,"2024-01-02 14:29:26","2024-01-03 20:10:24"
"23","Huelva","huelva@cgtferroviario.es",NULL,"sff-cgt@cgt.es","-","La sección de Huelva","337298","Guadalupe Rodríguez","1","21","1926",NULL,"2024-01-02 14:29:26","2024-01-03 20:07:24"
"24","Huesca","huesca@cgtferroviario.es",NULL,"cgthuescafl@gmail.com","-","La sección de Huesca","-","Pepa Casermeiro","2","22","4877",NULL,"2024-01-02 14:29:26","2024-01-03 20:02:34"
"25","Jaén","jaen@cgtferroviario.es",NULL,"Sff-cgt-jaen@hotmail.es","-","La sección de Jaén","331285/963546","Pablo Nieto","1","23","2334",NULL,"2024-01-02 14:29:26","2024-01-03 20:06:41"
"26","La Rioja","larioja@cgtferroviario.es",NULL,"Sff.cgt.larioja@gmail.com","-","La sección de La Rioja","998314","Pablo Martín","17","26","3886",NULL,"2024-01-02 14:29:26","2024-01-03 20:05:52"
"27","Leon","leon@cgtferroviario.es",NULL,"adifcgtleon@gmail.com","-","La sección de León","242375","Jonás Santamaría","7","24","3884",NULL,"2024-01-02 14:29:26","2024-01-03 20:03:09"
"28","Lleida","lleida@cgtferroviario.es",NULL,"cgtsfflerida@gmail.com","-","La sección de Lleida","-","Ángel Molano","9","25","4746",NULL,"2024-01-02 14:29:26","2024-01-03 20:01:35"
"29","Lugo","lugo@cgtferroviario.es",NULL,"cgtmonforte@yahoo.es","-","La sección de Lugo","-","Antonio Ferreiro","12","27","1319",NULL,"2024-01-02 14:29:26","2024-01-03 19:57:19"
"30","Madrid","madrid@cgtferroviario.es",NULL,"sffcgtmadrid@gmail.com","Avda Ciudad de Barcelona 8","La sección de Madrid","166931/166760","Berta Valera","13","28","3535",NULL,"2024-01-02 14:29:26","2024-01-03 19:39:19"
"31","Málaga","malaga@cgtferroviario.es",NULL,"malaga@sff-cgt.es","-","La sección de Málaga","328287","Miguel Montenegro","1","29","3079",NULL,"2024-01-02 14:29:26","2024-01-03 19:31:35"
"32","Murcia","murcia@cgtferroviario.es",NULL,"Sffcgt_murcia@yahoo.es","-","La sección de Murcia","967257","Miguel Ángel Velázquez","14","30","1417",NULL,"2024-01-02 14:29:26","2024-01-03 19:38:17"
"33","Navarra","navarra@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","-","La sección de Navarra","666468","Iker Izquierdo","15","31","6598",NULL,"2024-01-02 14:29:26","2024-01-03 18:46:51"
"34","Ourense","ourense@cgtferroviario.es",NULL,"Sff-cgtourense@hotmail.com","Avda","La sección de Ourense","269297","Diego Pascual","12","32","2521",NULL,"2024-01-02 14:29:26","2024-01-03 18:44:43"
"35","Palencia","palencia@cgtferroviario.es",NULL,"cgtpalenciasff@gmail.com","Avda","La sección de Palencia","164246","-","7","34","4750",NULL,"2024-01-02 14:29:26","2024-01-03 18:35:25"
"36","Pontevedra","pontevedra@cgtferroviario.es",NULL,"sffcgtpontevedra@gmail.com","-","La sección de pontevedra","-","Juantxo Losada","12","36","1801",NULL,"2024-01-02 14:29:26","2024-01-03 18:34:45"
"37","Salamanca","salamanca@cgtferroviario.es",NULL,"sffcgtsalamanca@gmail.com","-","La sección de segovia","285447/961224","Ubaldo Hernández","7","37","7576",NULL,"2024-01-02 14:29:26","2024-01-03 18:33:42"
"38","Segovia","segovia@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","-","La sección de segovia","-","Roberto Fernández","7","40","6472",NULL,"2024-01-02 14:29:26","2024-01-03 18:32:50"
"39","Sevilla","sevilla@cgtferroviario.es",NULL,"sffcgtsev@gmail.com","-","La sección de sevilla","385435/967874","Luis Murciano","1","41","3958",NULL,"2024-01-02 14:29:26","2024-01-03 18:30:06"
"40","Soria","soria@cgtferroviario.es",NULL,"cgtferroviariosoria@gmail.com","-","La sección de Soria","-","-","7","42","6031",NULL,"2024-01-02 14:29:26","2024-01-03 18:26:21"
"41","Tarragona","tarragona@cgtferroviario.es",NULL,"sffcgttgn@gmail.com","Avda","La sección de Tarragona","961221/559213","Enrique Villaseñor","9","43","5447",NULL,"2024-01-02 14:29:26","2024-01-03 18:23:32"
"42","Teruel","teruel@cgtferroviario.es",NULL,"teruel@cgtferroviario.es","Avda","La sección de Teruel","-","Pablo Justos","2","44","6869",NULL,"2024-01-02 14:29:26","2024-01-03 18:15:56"
"43","Toledo","toledo@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","Avda","La sección de Toledo","-","Jesús Manzano","8","45","5921",NULL,"2024-01-02 14:29:26","2024-01-03 18:10:11"
"44","Valencia","valencia@cgtferroviario.es",NULL,"cgtsffval@gmail.com","Avda","La sección de Valencia","437204/965287","Gabriel Tendero","10","46","7359",NULL,"2024-01-02 14:29:26","2024-01-03 17:46:29"
"45","Valladolid","valladolid@cgtferroviario.es",NULL,"cgtadifva@gmail.com","Avda","La sección de Valladolid","268343","Francisco Molledo","7","47","6319",NULL,"2024-01-02 14:29:26","2024-01-03 17:24:31"
"46","Zamora","zamora@cgtferroviario.es",NULL,"diferur@hotmail.es","Avda","La sección de Zamora","962564","Diego Fernández","7","49","7582",NULL,"2024-01-02 14:29:26","2024-01-03 16:53:13"
"47","Zaragoza","zaragoza@cgtferroviario.es",NULL,"sffcgtzaragoza@gmail.com","Avda","La sección de Zaragoza","564277","José Luis Fernández","2","50","7685",NULL,"2024-01-02 14:29:26","2024-01-03 17:22:21"
